Siecle,Nationalite,Philosophe,Texte,Oeuvre,Citation,Image,art,autrui,bonheur,conscience,corps,culture,désir,devoir,droit,échanges,État,histoire,idée,illusion,imagination,inconscient,jugement,justice,langage,liberté,logique,morale,mémoire,métaphysique,mort,nature,passions,pouvoir,politique,religion,science,sens,technique,temps,travail,vérité,violence,volonté
XIXe siecle,Français,Alain (philosophe),"Alain défend les droits fondamentaux des citoyens et met en garde dans son livre contre la soumission au pouvoir politique. Il cite ""la démocratie est la grève de l'enthousiasme"". Il entend par là qu'il faut obéir au pouvoir sans pour autant l'aimer de manière irrationnelle. ",,"""La démocratie est la grève de l'enthousiasme""",https://upload.wikimedia.org/wikipedia/commons/d/d7/%C3%89mile_Chartier_portrait.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIXe siecle,Français,Alain (philosophe),"Alain voit d'un mauvais œil l'inconscient ardamment défendu par Freud. Pour lui, l'inconscient ne relève que d'un pur phénomène physiologique, certe existant, mais il ne doit pas faire oublier le libre arbitre, fondamental dans la pensée d'Alain. Il est contre l'idée d'un fatalisme, quel qu'il soit, mais accepte le déterminisme : les causes déterminent les effets. L'homme peut maîtriser ce déterminisme par la connaissance (c'est ça la philosophie) et donc contribuer à sa liberté. Alain est un philosophe de la liberté, il défend avec ferveur l'idée d'un libre arbitre.Alain ne créé pas de système mais une méthode de pensée. Il s'agit pour lui de définir les termes précisement. Cf la Methode de Descartes. ",,,https://upload.wikimedia.org/wikipedia/commons/d/d7/%C3%89mile_Chartier_portrait.jpg,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,x,,,,,,,
XIXe siecle,Français,Alain (philosophe),"Pour Alain, penser c'est ne pas se soumettre aux préjugés, peser soigneusement ses reflexions et paroles. Il est fortement influencé par Descartes qu'il considère comme son maître à penser. Il souligne l'importance de bien définir les termes du sujet avant toute dialectique, pointant du doigt les difficultés qu'ont eu les adversaires de Socrate lors que ce dernier les interpella. ",,,https://upload.wikimedia.org/wikipedia/commons/d/d7/%C3%89mile_Chartier_portrait.jpg,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
XIXe siecle,Français,Alain (philosophe),Le Devoir pour Alain est un ensemble de principes qui participe à la dignité humaine. Cela a un caractère universel et se base sur le devoir kantien.,,,https://upload.wikimedia.org/wikipedia/commons/d/d7/%C3%89mile_Chartier_portrait.jpg,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIXe siecle,Français,Alain (philosophe),"Alain défendant le libre arbitre veut que ce concept soit basé sur la perception de la réalité du monde, et non sur un système théorique abstrait et métaphysique.",,,https://upload.wikimedia.org/wikipedia/commons/d/d7/%C3%89mile_Chartier_portrait.jpg,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
XIXe siecle,Français,Alain (philosophe),"Athée, il pointe le caractère irrationnel et imaginatif sur lequel s'appuie la religion sans toutefois la condamner. La religion serait essentiellement synonyme de superstitution.  L'imagination est le fondament de la religion pour Alain. Il rajoute : ""la religion est un remède de l'imagination pour des maux d'imagination"". De plus, si l'imagination est subie sans être maîtrisée, elle peut être la cause des troubles du corps et de l'esprit.",,"""La religion est un remède de l'imagination pour des maux d'imagination.""",https://upload.wikimedia.org/wikipedia/commons/d/d7/%C3%89mile_Chartier_portrait.jpg,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,x,,,,,,,,
XIXe siecle,Français,Alain (philosophe),"En lisant [les Propos] d'Alain, on y décèle rapidement une œuvre qui, par de petites histoires, nous rappelle la simplicité d'accès au bonheur. Le Bonheur se trouve dans l'action simple, dans le quotidien. Le bonheur est proche du devoir Kantien, lié au principe d'universalité.",,,https://upload.wikimedia.org/wikipedia/commons/d/d7/%C3%89mile_Chartier_portrait.jpg,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIXe siecle,Français,Alexis de_Tocqueville,"Tocqueville etudie la démocratie, ses bienfaits et ses dangers. Elle conduit à l'égalité des droits et empêche toute faction privilégiée d'émerger (théoriquement) car tous les citoyens seraient actifs dans les affaires publiques. Cependant, elle pousse l'individualisme et l'avidité matérielle et n'est donc pas l'idéal décrit par Montesquieu. La Démocratie est le fondement de l'économie de marché (cf. Smith et Mandeville), stable et prospère. Le danger réside dans l'uniformisme et la supériorité de l'égalité au détriment de la liberté. Pourtant l'égalité est un mythe, l'inégalité des conditions persiste et conduit à la convoitise et une société turbulente. Tocqueville s'inquiète de l'égalité politique donnant résultat à la tyrannie de la majorité et a la dictature des opinions où les citoyens sont individualistes, et désengagés; ils ne s'en remettent qu'au pouvoir collectif. Cela ouvrant la voie au despotisme démocratique. Tocqueville défendra que le seul moyen de s'en prémunir est la séparation des pouvoirs (dont la presse) et la décentralisation (poussant les citoyens à la politique locale).",De la Démocratie en Amérique,,https://upload.wikimedia.org/wikipedia/commons/a/aa/Alexis_de_tocqueville.jpg,,,,,,,,,,x,x,,,,,,,,,x,,,,,,,,,x,,,,,,,,,
XIXe siecle,Français,Alexis de_Tocqueville,"L'Histoire se mesuree par le Progrès, autrement dit par l'augmentation des droits des individus.",,,https://upload.wikimedia.org/wikipedia/commons/a/aa/Alexis_de_tocqueville.jpg,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
XIe siecle,Italien,Anselme de_Canterbury,"Anselme est l'un des fondateurs de l'Ecole Scolastique, école visant à reunir l'ontologie d'Aristote et les pensées chrétiennes. Il y cherche des arguments pour prouver l'existence de Dieu. Pour resumer son argumentation, il part du postulat que comme l'idee de Dieu existe belle et bien et que rien n'est plus grand que Dieu, cela conduit à l'impossibilité de dénier son existence. ",,,https://upload.wikimedia.org/wikipedia/commons/d/dd/AnselmCanterbury2.jpg,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,x,,,,,,,,
XIe siecle,Italien,Anselme de_Canterbury,"Même si la foi est supérieure à la raison, la raison est utile pour comprendre les vérités de la foi. ",,,https://upload.wikimedia.org/wikipedia/commons/d/dd/AnselmCanterbury2.jpg,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,x,,
